key,angle_degrees,psnr,ssim,model_inference_ms
001595,0,28.88368069741977,0.5994878017193377,35.19409999717027
001602,0,23.493843086341663,0.7745761097314865,35.591500000009546
001610,0,26.92741212328525,0.8312373728028833,36.859599997114856
001621,0,30.675771242321616,0.8348102104815841,39.11609999704524
001623,0,32.047166696415715,0.8763870312395096,34.31710000222665
001626,0,24.81030284085997,0.7432036723305564,34.14780000093742
001630,0,27.71362844296226,0.8642510534366555,34.35330000138492
001633,0,29.273082160385748,0.6279145170505047,34.38739999910467
001649,0,30.295582374298164,0.8097772512505651,32.676399998308625
001658,0,25.59446128432835,0.7192573766026628,30.14400000029127
001661,0,30.404645207643416,0.9141845165228843,34.71029999855091
001669,0,21.15373181438062,0.3422452567949665,38.395999999920605
001672,0,28.71283090959112,0.8382649297441542,37.90809999918565
001679,0,24.828272847601372,0.7491888533963338,32.647500000166474
001697,0,31.04093269409838,0.7116202252628431,31.650900000386173
001726,0,23.701935384026235,0.6816965107273548,36.612800002330914
001732,0,34.62791295994763,0.8737847852530479,34.69089999998687
001733,0,33.32983565003899,0.8213201844378859,36.16580000016256
001735,0,35.18436087946211,0.8479242085938453,31.94230000008247
001737,0,28.418988965546042,0.8577033315979838,46.40599999765982
001742,0,28.62346770484569,0.8270773370927404,34.4747000017378
001746,0,20.583816180498808,0.6780877055595803,35.54029999941122
001775,0,26.512279164500292,0.665245226372838,37.02089999933378
001786,0,25.088208644078232,0.8172797698405143,34.59139999904437
001793,0,22.834858414447808,0.5928275258043111,35.11810000054538
001802,0,36.6045197900834,0.9120329412212372,37.19519999867771
001809,0,36.51840452354594,0.9604276784949303,37.46550000141724
001810,0,35.556124474667016,0.9644982512550354,35.7966999981727
001815,0,24.04826136601505,0.7803612240909376,34.82360000271001
001824,0,27.846913150129996,0.8370623122350126,34.25570000035805
001836,0,22.755674086161584,0.7080924987247782,34.0448999995715
001842,0,29.421747657930986,0.7919783219075436,31.65679999801796
001856,0,35.49742469778672,0.9167988643126488,36.537800002406584
001861,0,30.51133736727492,0.6294841691201255,34.60179999819957
001880,0,26.025443599399786,0.7210657490340306,40.13689999919734
001885,0,31.96807305433132,0.9444829762647711,33.43209999729879
001896,0,29.773998524814147,0.8916193389342465,30.757600001379615
001900,0,31.946132375782415,0.9113081028449311,35.46210000058636
001901,0,33.31794139294347,0.9490258305444718,33.199000001332024
001911,0,30.800977553101397,0.8714658055148125,33.375700000760844
001915,0,24.560215987374026,0.6917755303362906,47.26710000250023
001941,0,22.862224527083544,0.717655783996641,29.87540000322042
001949,0,27.726386311789636,0.8643878029199681,34.094499998900574
001951,0,27.48741423080189,0.8721695540874675,32.53060000133701
001954,0,35.76777304214117,0.9499129365830421,34.39499999876716
001956,0,21.279548849672764,0.6153998360147865,33.822800000052666
001967,0,27.104633382526536,0.7677150001420183,33.71540000080131
001969,0,29.234098888082983,0.5668841839095354,36.2143999991531
001970,0,29.06312146661934,0.5684459644386097,31.841899999562884
001987,0,31.40980753750773,0.7806355569180697,34.657899999729125
001992,0,35.42279730060132,0.9660214572389125,35.21509999700356
001994,0,23.763242715911737,0.6957447588442855,35.51510000033886
002001,0,28.478385768037423,0.48801456419432165,34.977399998751935
002011,0,30.778720196409587,0.6843327289760113,32.59819999948377
002015,0,31.63864680832473,0.9117951044273377,33.87539999675937
002035,0,26.698289000337518,0.7601399702559635,34.66420000040671
002042,0,17.731490864307748,0.5370896239500568,31.931400000758003
002044,0,24.17356396833631,0.7876450817597623,32.28579999995418
002061,0,28.57386943702177,0.7151953319458961,37.449900002684444
002064,0,27.210175274163717,0.4181154939546287,32.944999999017455
002067,0,23.202556896880925,0.7001837068051361,34.65140000116662
002080,0,22.351003511307425,0.7240710241096118,35.17430000283639
002082,0,29.319750207900807,0.5337864101315849,32.513900001504226
002085,0,26.189516998313472,0.5851742932138674,35.916299999371404
002087,0,26.88163610586715,0.6235206897014715,34.45319999809726
002097,0,30.220732336460948,0.6617717944643497,32.38419999979669
002106,0,30.590203355000455,0.62950314530015,29.800000000250293
002111,0,26.588185247525544,0.8385804658134133,33.07870000207913
002121,0,27.40737955677043,0.7241301471317035,31.923599999572616
002132,0,26.34394530720137,0.7941874891914688,32.32140000181971
002147,0,21.997690490041318,0.6223843983219066,35.840900000039255
002150,0,35.24245648731422,0.9212923172316552,34.63039999769535
002153,0,25.018051304208505,0.289085775618054,33.36489999855985
002154,0,24.995600540192065,0.28378490403253864,33.35449999940465
002156,0,24.890477519733384,0.7796075327802724,35.95599999971455
002157,0,28.988656707514714,0.7298552861794178,38.00730000148178
002165,0,31.32568552389131,0.8130789312801361,33.358799999405164
002170,0,31.11031231898349,0.9211308749964238,33.02419999818085
002187,0,31.794479955885112,0.9023189734336435,35.359299999981886
002189,0,24.16341571537243,0.7707511478168405,38.323100001434796
002213,0,34.343568506981306,0.8636234450337886,30.786600000283215
002215,0,33.481859946083155,0.85794722042799,33.91139999803272
002218,0,37.45171305388685,0.9247953410139084,34.1751000014483
002225,0,41.67821468739259,0.9642859739866256,32.03349999967031
002226,0,41.370639058086724,0.9656541315603256,34.149900002375944
002229,0,31.948700988076947,0.8489887930240929,33.36430000126711
002237,0,23.479335002585742,0.8034829676295072,35.29480000361218
002239,0,22.32963345676653,0.7752571884341315,34.55180000310065
002248,0,22.29870189877404,0.7938363919874541,32.647200001520105
002253,0,25.952235104687446,0.5653682496105479,34.61329999845475
002255,0,25.70173945120235,0.5659225728807729,35.891499999706866
002258,0,20.42834722585727,0.83229590005951,33.634400002483744
002260,0,20.695048585815176,0.6931798318198722,39.76949999923818
002263,0,32.64984537296124,0.8701597536072732,33.35049999805051
002275,0,37.36838585813301,0.9439154203736261,34.26480000052834
002290,0,29.352167263896728,0.8621023169955835,34.66670000125305
002294,0,24.536924665560306,0.784302165327683,35.499599998729536
002297,0,29.151963087985727,0.8084633771104217,35.17869999996037
002299,0,27.76974095353449,0.7443509147178344,31.770699999469798
002305,0,27.16362972377577,0.6138413685854315,39.27110000222456
002314,0,27.579566673436506,0.8856545181454122,34.461900002497714
002318,0,19.129289900676987,0.6310666402344806,36.34079999756068
002328,0,23.898015479352182,0.5546005368330046,36.160100000415696
002335,0,34.82550510285898,0.8232023196213245,35.72780000104103
002344,0,30.494225359661176,0.917337684990257,37.273199999617646
002348,0,27.4063447701459,0.8694232683341541,37.24340000189841
002356,0,30.295331224517383,0.8881615951668024,50.46489999949699
002359,0,42.26877415103062,0.981132530008316,34.98989999934565
002361,0,24.71667831012072,0.815457117625162,34.90990000136662
002364,0,26.24793736384584,0.7568323126589954,31.21110000211047
002365,0,33.09704503451246,0.9525657823204994,35.3653000020131
002377,0,24.991239178118335,0.7221400040056873,32.93230000053882
002383,0,26.34455755500646,0.41261348595466835,34.20810000170604
002396,0,25.90427140698811,0.7645828543594927,33.453299998654984
002406,0,32.33512296633427,0.8845303630020619,34.97549999883631
002407,0,33.677391309436814,0.9166097325878143,34.25419999985024
002410,0,21.86141415992264,0.7049483075344684,35.75499999715248
002420,0,32.72738445987082,0.7961039335551262,33.30880000066827
002423,0,32.02203888527996,0.8831985104472267,32.8187999984948
002424,0,36.08334301685494,0.9273413927545547,45.0935999979265
002431,0,26.395371138545073,0.7271749843212415,31.38300000136951
002440,0,28.040868841351966,0.7669423714439869,35.25190000073053
002452,0,33.25234373557317,0.9006309202538729,40.11959999843384
002455,0,27.750878312907183,0.8707815211631059,32.514199996512616
002459,0,23.806299184460535,0.8346139916283339,35.04890000112937
002464,0,32.56088396466114,0.6915372858102322,40.638900001795264
002471,0,28.207957307098177,0.46380885946571826,34.67149999778485
002476,0,28.74482857818842,0.7450848613473102,30.843800002912758
002480,0,25.412969083308216,0.764565265026072,31.30099999907543
002491,0,29.40738128217335,0.6329009160858988,35.800199999357574
002497,0,30.127618888187136,0.7308935200878381,34.63030000057188
002499,0,30.892669683270434,0.7535819347692579,35.54939999958151
002500,0,27.14815597437857,0.859657414483628,35.06980000020121
002508,0,26.69611994385971,0.7355549789820836,39.0389000021969
002513,0,30.76937377290635,0.9300177538197041,33.76140000182204
002514,0,30.15596900769936,0.9181216072449684,39.187200000014855
002529,0,35.4557670390891,0.9471302703883648,39.43749999962165
