key,input_height,input_width,output_height,output_width,size_group,psnr,ssim,inference_time_ms
000391,128,128,256,256,128x128_to_256x256,32.11242559674707,0.8232367047798633,0.16959999993559904
000397,128,128,256,256,128x128_to_256x256,18.885444982554255,0.16854613240619137,0.3708000003825873
000398,128,128,256,256,128x128_to_256x256,18.210252473124317,0.2047955422564074,0.1404999984515598
000401,128,128,256,256,128x128_to_256x256,21.75209770617466,0.30019118106042286,0.13639999997394625
000410,128,128,256,256,128x128_to_256x256,22.320012816351912,0.35031743790011527,0.13050000052317046
000414,128,128,256,256,128x128_to_256x256,19.405234911725636,0.552352397906654,0.15519999942625873
000423,128,128,256,256,128x128_to_256x256,20.008303368176502,0.1653554125663319,0.15720000010333024
000428,128,128,256,256,128x128_to_256x256,25.658891882897358,0.8387461627074108,0.13140000010025688
000432,128,128,256,256,128x128_to_256x256,26.75026803446503,0.7529398268999176,0.16870000035851263
000437,128,128,256,256,128x128_to_256x256,26.43418395279259,0.7311005789003174,0.1609999999345746
000438,128,128,256,256,128x128_to_256x256,26.55535824130856,0.743658410419545,0.36040000122739
000440,128,128,256,256,128x128_to_256x256,20.395621523217166,0.33763515490224694,0.14089999967836775
000442,128,128,256,256,128x128_to_256x256,21.912150042931565,0.38504053731739674,0.12760000026901253
000446,128,128,256,256,128x128_to_256x256,22.56777433861233,0.47341752978517077,0.14589999955205712
000450,128,128,256,256,128x128_to_256x256,25.830124818572347,0.6583441150419829,0.12410000090312678
000456,128,128,256,256,128x128_to_256x256,21.17458073120368,0.47949740869331303,0.12770000103046186
000458,128,128,256,256,128x128_to_256x256,22.36497517275774,0.6032014813695792,0.13480000052368268
000459,128,128,256,256,128x128_to_256x256,22.497714849244787,0.6141103968130497,0.1399000011588214
000462,128,128,256,256,128x128_to_256x256,22.31367563025646,0.3642252101759215,0.14170000031299423
000485,128,128,256,256,128x128_to_256x256,20.31137782242324,0.16488517724043486,0.14349999946716707
000490,128,128,256,256,128x128_to_256x256,22.580686413425532,0.7139072408176156,0.2585000002000015
000491,128,128,256,256,128x128_to_256x256,23.421916014076128,0.7470482585133869,0.14279999959398992
000494,128,128,256,256,128x128_to_256x256,20.81899459582096,0.2776588622981317,0.1323000014963327
000499,128,128,256,256,128x128_to_256x256,22.24936705528149,0.6060270621351758,0.13530000069295056
000503,128,128,256,256,128x128_to_256x256,21.417830224292935,0.4617152731791572,0.14430000010179356
000515,128,128,256,256,128x128_to_256x256,15.947728342979957,0.5133329001396649,0.1416000013705343
000525,128,128,256,256,128x128_to_256x256,22.935482451425365,0.31160637165214866,0.14960000044084154
000528,128,128,256,256,128x128_to_256x256,28.74620579668275,0.5765897605348299,0.14399999963643495
000533,128,128,256,256,128x128_to_256x256,20.40372812930755,0.5092654494876915,0.13450000005832408
000534,128,128,256,256,128x128_to_256x256,21.638115293584658,0.6153068269203499,0.15109999912965577
000535,128,128,256,256,128x128_to_256x256,21.712398258043358,0.6171112330858959,0.13829999988956843
000545,128,128,256,256,128x128_to_256x256,21.579786020641105,0.3994924277887984,0.13029999900027178
000555,128,128,256,256,128x128_to_256x256,24.19059892478949,0.5806568932769104,0.14250000094762072
000562,128,128,256,256,128x128_to_256x256,19.284553952234056,0.3954116765057799,0.14929999997548293
000564,128,128,256,256,128x128_to_256x256,23.095766585594273,0.30065753642876725,0.13240000043879263
000604,128,128,256,256,128x128_to_256x256,18.83616750357569,0.39675935701810383,0.13029999900027178
000633,128,128,256,256,128x128_to_256x256,23.55854972523174,0.42433873272298456,0.13439999929687474
000641,128,128,256,256,128x128_to_256x256,18.799429859628482,0.40052191335643816,0.13920000128564425
000642,128,128,256,256,128x128_to_256x256,18.85775530436808,0.426843689622654,0.14740000005986076
000661,128,128,256,256,128x128_to_256x256,22.098955276667883,0.30234209629751807,0.1388000000588363
000667,128,128,256,256,128x128_to_256x256,32.29312880525718,0.9557682564030439,0.13779999972030055
000669,128,128,256,256,128x128_to_256x256,22.252275095703943,0.4524013534443671,0.14039999950909987
000675,128,128,256,256,128x128_to_256x256,22.363877674062408,0.6464058098117786,0.36559999898599926
000687,128,128,256,256,128x128_to_256x256,21.471792057813328,0.35512778200329526,0.14589999955205712
000689,128,128,256,256,128x128_to_256x256,23.208407447172515,0.784271468111493,0.1368000012007542
